Saami {prop} (Saami language)	 :: Samisk språk
sleeping car {n} (a railroad car with sleeping facilities for passengers travelling overnight.)	 :: [Bokmål] sovevogn {m} {f}; [Nynorsk] sovevogn {f}
sleepless {adj} (absence of sleep)	 :: [Bokmål] søvnløs
sleepwalk {v} (somnambulate) SEE: somnambulate	 ::
sleepwalker {n} (somnambulist) SEE: somnambulist	 ::
sleepy {adj} (feeling the need for sleep)	 :: trett, døsig, søvnig
sleepy head {n} (a sleepy person) SEE: sleepyhead	 ::
sleepyhead {n} (ruddy duck) SEE: ruddy duck	 ::
sleet {n} (mixture of rain and snow)	 :: sludd {n} [Nynorsk] slut {n}
sleet {v} (to be in a state in which sleet is falling)	 :: sluddvær {n}
sleeve {n} (part of a garment that covers the arm)	 :: erme {n}
sleigh {n} (vehicle on runners)	 :: [Bokmål] slede {m}; [Nynorsk] slede {m}
sleight of hand {n} (skill)	 :: fingerferdighet {m}
slice {v} (to cut into slices)	 :: å skjære
slide {n} (rubble, earth and stones moving down)	 :: ras {n}
slide {n} (valve in eg. a trombone)	 :: sleide {m}
slide {v} (to lose balance)	 :: gli, skli
slide {v} (to move in continuous contact with a surface)	 :: gli, skli
slide {v} (to move with low friction)	 :: gli
slide fastener {n} (zip fastener) SEE: zip fastener	 ::
slide fastener {n} (zip fastener) SEE: zip fastener	 ::
sliding door {n} (door)	 :: [Bokmål] skyvedør {m} {f}; [Nynorsk] skuvedør {f} skyvedør {f}
slingshot {n} (Y-shaped stick)	 :: sprettert {m}
Slinky {n} (Toy spring)	 :: trappetroll {n}
slip {n} (nautical: space for a ship to moor) SEE: berth	 ::
slip {v} (to lose one's traction)	 :: skli, gli
slipper {n} (low shoe usually worn indoors)	 :: [Bokmål] tøffel {m}; [Nynorsk] tøffel {m}
slipper animalcule {n} (paramecium) SEE: paramecium	 ::
slipstick {n} (slide rule) SEE: slide rule	 ::
slob {n} (lazy, slovenly person)	 :: slask
sloe {n} (Prunus spinosa)	 :: slåpetorn
sloop {n} (single-masted sailboat)	 :: slupp
sloop {n}	 :: slupp
slope {n} (area of ground that tends evenly upward or downward)	 :: skråning {f}, bakke {m}, oppoverbakke {m}, nedoverbakke {m}
slope {n} (degree to which a surface tends upward or downward)	 :: stigning {m}, helling {f}
slosh {v} (of a liquid, to shift chaotically; to splash noisily)	 :: skvalpe, skvulpe, plaske
sloth {n} (laziness)	 :: latskap {m}, lediggang {m}
sloth {n} (mammal)	 :: [Bokmål] dovendyr {n}; [Nynorsk] dovendyr {n}
slot machine {n} (vending machine) SEE: vending machine	 ::
slough {n} (muddy or marshy area)	 :: myr {m} {f}, gjørmehull {n}
Slovak {adj} (of Slovakia or its language)	 :: [Bokmål] slovakisk; [Nynorsk] slovakisk
Slovak {n} (native of Slovakia)	 :: [Bokmål] slovak {m}; [Nynorsk] slovak {m}
Slovak {prop} (language of Slovakia)	 :: [Bokmål] slovakisk {m}; [Nynorsk] slovakisk {m}
Slovakia {prop} (Slovakia)	 :: Slovakia
Slovene {adj} (adjective)	 :: [Bokmål] slovensk; [Nynorsk] slovensk
Slovene {n} (a person)	 :: [Bokmål] slovener {m}; [Nynorsk] sloven {m}, slovenar {m}
Slovene {prop} (the language)	 :: [Bokmål] slovensk {m}; [Nynorsk] slovensk {m}
Slovenia {prop} (country in Europe)	 :: Slovenia
Slovenian {adj} (Slovene) SEE: Slovene	 ::
Slovenian {n} (Slovene) SEE: Slovene	 ::
Slovenian {prop} (Slovene) SEE: Slovene	 ::
slow {adj} (not quick in motion)	 :: langsom {m} {f}, langsomt {n}, langsomme {p}
slowcoach {n} (plodder) SEE: plodder	 ::
slowly {adv} (At a slow pace)	 :: sakte, langsomt
slowness {n} (quality of being slow)	 :: langsomhet
slowworm {n} (Anguis fragilis)	 :: [Bokmål] stålorm {m}; [Nynorsk] stålorm {m}
sluff {n} (slough) SEE: slough	 ::
sluff {v} (slough) SEE: slough	 ::
slug {n} (lazy person) SEE: sluggard	 ::
sluice {n} (passage for water)	 :: sluse {m} {f}
slum {n} (dilapidated neighborhood)	 :: slum {m}
slumber {n} (a very light state of sleep)	 :: slumre, dorme
slumber {v} (to be inactive or negligent)	 :: sløve
Slurpee {n} (flavored shaved ice served as a drink) SEE: slush	 ::
slush {n} (half-melted snow)	 :: slaps {n}; [Bokmål] sørpe {m} {f}; [Nynorsk] sørpe {f}
slushie {n} (flavored shaved ice served as a drink) SEE: slush	 ::
Slush Puppie {n} (slush) SEE: slush	 ::
slushy {n} (flavored shaved ice served as a drink) SEE: slush	 ::
slut {n} (prostitute) SEE: whore	 ::
slut {n} (sexually promiscuous woman)	 :: ludder {n}, tøs {f}
sly {adj} (artfully cunning; secretly mischievous; wily)	 :: slu, sleip
sly {adj} (dexterous in performing an action, so as to escape notice; nimble)	 :: slu
sly {adj} (done with, and marked by, artful and dexterous secrecy)	 :: slu, listig
smack {n} ((slang) heroin) SEE: horse	 ::
small {adj} (not large)	 :: liten
small {adj} (young)	 :: liten, ung
small-eared galago {n} (Otolemur garnettii) SEE: northern greater galago	 ::
small potatoes {n} (small fry) SEE: small fry	 ::
smallpox {n} (disease)	 :: [Bokmål] kopper {m-p}; [Nynorsk] koppar {m-p}
small talk {n} (idle conversation)	 :: [Bokmål] småprat {m} {n}; [Nynorsk] småprat {m} {n}
smalltown {n} (small town) SEE: small town	 ::
smaragdine {n} (emerald) SEE: emerald	 ::
smart {adj} (exhibiting intellectual knowledge, such as that found in books)	 :: [Bokmål] smart, klok
smart ass {n} (one promoting his own personality, wishes or views) SEE: smartass	 ::
smear {n} (Pap smear) SEE: Pap smear	 ::
smell {n} (sensation)	 :: [Bokmål] lukt {m} {f}; [Nynorsk] lukt {f}
smell {n} (sense of smell)	 :: [Bokmål] luktesans {m}; [Nynorsk] luktesans {m}
smell {v} (have a particular smell)	 :: stinke
smell {v} (have the smell of)	 :: lukte
smell {v} (sense with nose)	 :: lukte
smelt {n} (production of metal, especially iron, from ore) SEE: smelting	 ::
smetana {n} (type of soured cream)	 :: smetana
smew {n} (Mergus albellus)	 :: lappfiskand
smile {n} (a happy face expression using mouth, but without producing voice)	 :: smil {n}
smiley {n} (emoticon) SEE: emoticon	 ::
smiley {n}	 :: smiley, smilefjes
smith {v} (craftsperson who works metal)	 :: smed {m}
smithy {n} (forge) SEE: forge	 ::
smoke {n} (baseball slang:fastball) SEE: fastball	 ::
smoke {n} (visible particles and vapour given off by burning material)	 :: røyk {m}
smoke {v} (to inhale and exhale smoke from a burning cigarette)	 :: [Bokmål] røyke
smoke alarm {n} (smoke detector) SEE: smoke detector	 ::
smoker {n} (apparatus for smoking food)	 :: røykeri {n}
smoker {n} (bee smoker) SEE: bee smoker	 ::
smoker {n} (person who smokes tobacco habitually)	 :: [Bokmål] røyker {m}, røker {m}; [Nynorsk] røykjar {m}
smoker {n} (smoking car) SEE: smoking car	 ::
smoking {n} (smoking of tobacco)	 :: røyking {f}; [Nynorsk] røyking {f}
smug {adj} (irritatingly pleased with oneself; self-satisfied)	 :: selvgod
smuggle {v}	 :: smugle
smurf {n} (fictional character)	 :: smurf {c}
smut {n} (promiscuous woman) SEE: slut	 ::
smut {n} (soot) SEE: soot	 ::
snag {n} (problem or difficulty)	 :: [Bokmål] ulempe
snail {n} (any animal of the class Gastropoda having a shell)	 :: [Bokmål] snegl {m}, snile {m}; [Nynorsk] snigel {m}
snake {n} (legless reptile)	 :: slange {m}, orm {m}
snake {n} (plumbing tool)	 :: stakefjær {c}
snake hawk {n} (laughing falcon) SEE: laughing falcon	 ::
snaky {adj} (twisty) SEE: twisty	 ::
snare drum {n} (tubular drum)	 :: [Bokmål] skarptromme {m} {f}; [Nynorsk] skarptromme {f}
sneak {n} (a cheat; con artist; trickster)	 :: snik {m}
sneak {v} (to creep)	 :: snike
sneaker {n} (athletic shoe) SEE: sneakers	 ::
sneakers {n} (leisure shoes, often worn for sports; trainers)	 :: joggesko {m}
sneer {v} (raise a corner of the upper lip slightly in scorn)	 :: hånflire
snippet {n} (a tiny piece or part)	 :: snutt {m}
snitch {n} (informer, usually one who betrays his group)	 :: sladrehank
snitch {v} (inform on)	 :: sladre
snivel {n} (nasal mucus; snot)	 :: snørr {f} or {n}
snivel {n} (the act of snivelling)	 :: klynk {n}, snufs {n}, grining {c}, tuting {c}
snivel {v} (to breathe heavily through the nose; to sniffle)	 :: snufse
snivel {v} (to whine or complain, whilst crying)	 :: klynke, bære seg, snufse, tute
Sněžka {prop} (mountain)	 :: Sněžka, Śnieżka
snood {n} (hairnet) SEE: hairnet	 ::
snood {n} (neckwarmer) SEE: neckwarmer	 ::
snoot {n} (slang: human nose) SEE: schnozzle	 ::
snore {v} (breathe during sleep with harsh noises)	 :: snorke
snot {n} (contemptible child)	 :: snørrunge {m}
snot {n} (mucus)	 :: snørr {f} {n}
snotty {adj} (dirtied with snot)	 :: snørret
snotty {adj} (ill-tempered, impertinent)	 :: snørrhoven
snout {n} (long, projecting nose, mouth and jaw of a beast)	 :: tryne {n}
snout moth {n} (eggar) SEE: eggar	 ::
snow {n} (collective precipitation)	 :: snøfall {n}
snow {n} (precipitation)	 :: [Bokmål] snø {m}, sne {m}; [Nynorsk] snø {m}
snow {n} (TV noise)	 :: snø
snow {v} (have snow fall from the sky)	 :: [Bokmål] snø; [Nynorsk] snøe, snø
snowball {n} (ball of snow)	 :: [Bokmål] snøball {m}; [Nynorsk] snøball {m}
snowball fight {n} (scuffle or play fight whose object is to hit unallied participants with snowballs)	 :: snøballkrig
snow-blind {adj} (blinded by abundance of reflected light)	 :: [Bokmål] snøblind
snow blindness {n} (condition of the eyes caused by exposure to UV rays)	 :: [Bokmål] snøblindhet {m} {f}
snowblower {n} (a device for clearing a path or road of snow)	 :: snøfreser; [Nynorsk] snøfresar {m}
snowboard {n} (board)	 :: [Bokmål] snøbrett {n}; [Nynorsk] snøbrett {n}
snowboarder {n} (someone who snowboards)	 :: [Bokmål] snøbrettkjører {m}
snowfall {n} (instance of falling of snow)	 :: [Bokmål] snøfall {n}; [Nynorsk] snøfall {n}
snowflake {n} (crystal)	 :: snøfnugg
snow fox {n} (arctic fox) SEE: arctic fox	 ::
snow globe {n} (decorative object)	 :: [Bokmål] snøkule {m}
snow leopard {n} (a large feline mammal, Uncia uncia)	 :: snøleopard
snowman {n} (figure made of snow)	 :: [Bokmål] snømann {m}; [Nynorsk] snømann {m}
snowmobile {n} (vehicle)	 :: [Bokmål] snøscooter {m}, scooter {m}, snøskuter {m}, skuter {m}; [Nynorsk] snøscooter {m}, scooter {m}, snøskuter {m}, skuter {m}
snow shovel {n} (a shovel designed specifically for the shovelling of snow)	 :: [Bokmål] snømåke {m} {f}, snøskuffe {m} {f}; [Nynorsk] snømoke {f}, snøskuffe {f}
snowstorm {n} (bad weather involving blowing winds and snow)	 :: snøstorm
snow-white {adj} (as white as snow)	 :: [Bokmål] snøhvit
Snow White {prop} (character from Snow White (Schneewittchen))	 :: [Bokmål] Snøhvit
snuff {n} (fine-ground tobacco)	 :: snus {m-p}
snuff {v} (extinguish candle or oil-lamp)	 :: slukke
snus {n} (type of tobacco snuff)	 :: snus {m}
so {adv} (in a particular manner)	 :: slik
so {adv} (to a particular extent)	 :: så
so {adv} (very)	 :: så
so {conj} (in order that)	 :: så
so {n} (sol) SEE: sol	 ::
soap {n} (soap opera) SEE: soap opera	 ::
soap {n} (substance)	 :: såpe, såpa
soap dish {n} (a container for soap)	 :: [Bokmål] såpeskål {m} {f}
soap opera {n} (television serial)	 :: [Bokmål] såpeopera {m}; [Nynorsk] såpeopera {m}
sobbing {n} (action of the verb "to sob")	 :: snufsing {m}
sober {adj} (not drunk)	 :: edru
soccer {n} (game)	 :: fotball {m}
Sochi {prop} (city in Russia)	 :: Sotsji
social {adj} (extroverted or outgoing)	 :: sosial
social {adj} (relating to society)	 :: sosial
social {n} (short for social security benefit)	 :: sosialen
social anxiety {n} (social anxiety disorder) SEE: social anxiety disorder	 ::
social anxiety disorder {n} (the most common anxiety disorder)	 :: [Bokmål] sosial angstlidelse, sosial fobi
socialism {n} (group of socialist political philosophies)	 :: sosialisme {m}
socialism {n} (intermediate phase of social development)	 :: sosialisme {m}
socialism {n} (political philosophy of social and economic equality)	 :: sosialisme {m}
social phobia {n} (social anxiety disorder) SEE: social anxiety disorder	 ::
social psychology {n}	 :: sosialpsykologi {m}
society {n} (group of people sharing culture)	 :: samfunn {n}
society {n} (high society) SEE: high society	 ::
Socinian {adj} (pertaining to the Socinians)	 :: sociniansk {m}
socioeconomic {adj} (of or pertaining to social and economic factors) SEE: socio-economic	 ::
sociologist {n} (scientist studying the field of sociology)	 :: [Bokmål] sosiolog {m}; [Nynorsk] sosiolog {m}
sociopolitical {adj} (socio-political) SEE: socio-political	 ::
sock {n} (covering for the foot)	 :: sokk {m}
Socrates {prop} (Greek philosopher)	 :: Sokrates
soda {n} (carbonated water)	 :: [Bokmål] kullsyreholdig mineralvann {n}, sodavann {n}, soda {n}, selters {m}; [Nynorsk] kolsyrehaldig mineralvatn {n}, sodavatn {n}, soda {m}, selters {m}
soda {n} (sweet, carbonated drink)	 :: [Bokmål] brus {m}; [Nynorsk] brus {m}
sodality {n} (companionship) SEE: companionship	 ::
sodium {n} (a reactive metal)	 :: natrium; [Nynorsk] natrium
sodium benzoate {n} (the sodium salt of benzoic acid)	 :: natriumbenzoat
sodium hydrogen carbonate {n} (NaHCO3) SEE: sodium bicarbonate	 ::
sodium lamp {n} (sodium vapor lamp) SEE: sodium vapor lamp	 ::
sodomy {n} (sex held to be unnatural)	 :: [bestiality] sodomi
sofa {n} (upholstered seat)	 :: sofa
so far {adv} (until now; previously; yet)	 :: hittil
Sofia {prop} (the capital city of Bulgaria)	 :: Sofia
soft {adj} (foolish) SEE: foolish	 ::
soft {adj} (gentle)	 :: forsiktig
soft {adj} (giving way under pressure)	 :: svak
soft {adj} (lacking strength or resolve)	 :: svak
soft {adj} (of a cloth)	 :: myk
soft {adj} (of a sound)	 :: myk
soft {adj} (of water)	 :: bløt
soft chancre {n} (chancroid) SEE: chancroid	 ::
soft drink {n} (sweet, non-alcoholic carbonated beverage)	 :: brus {m}
soften {v} ((transitive) To make something soft or softer)	 :: bløtgjøre
softhearted {adj} (easily moved to sorrow)	 :: bløthjertet
soft paraffin {n} (petroleum jelly) SEE: petroleum jelly	 ::
soft porn {n} (soft-core pornography)	 :: [Bokmål] mykporno {m}
soft roe {n} (milt) SEE: milt	 ::
soft serve {n} (frozen dessert)	 :: [Bokmål] softis {m}
soft soap {n} (soft-soap) SEE: soft-soap	 ::
soft spot {n} (fontanelle) SEE: fontanelle	 ::
software {n} (encoded computer instructions)	 :: programvare {m} {f}
Sogdiana {prop} (an ancient Iranian-speaking civilization)	 :: Sogdia
soil {n} (mineral or organic material serving as a natural medium for the growth of land plants)	 :: jordsmonn {n}
soil {v} (to defecate into one's clothing) SEE: soil oneself	 ::
soil stack {n} (drain-waste-vent system)	 :: [Bokmål] soilrør {n}
solace {n} (consolation)	 :: trøst
solace {n} (source of comfort)	 :: trøst
solar eclipse {n} (when the Moon passes between the Earth and the sun)	 :: [Bokmål] solformørkelse {m}; [Nynorsk] solformørking {f}
solar mass {n} (unit)	 :: solmasse {m}
solar system {n} (any collection of heavenly bodies orbiting a star)	 :: solsystem {n}
solar system {prop} (Solar System) SEE: Solar System	 ::
solar wind {n} (outflow of charged particles from the solar corona into space)	 :: solvind {m}
soldering iron {n} (tool)	 :: loddebolt {c}
soldier {n}	 :: soldat {m}
sole {adj} (only)	 :: eneste
sole {adj} (unmarried; widowed)	 :: singel, enslig
sole {n} (bottom of a shoe or boot)	 :: såle {m}
sole {n} (bottom of the foot)	 :: fotsåle {m}
sole {n} (fish)	 :: sjøtunge {f}
sole {v} (put a sole on (a shoe or boot))	 :: såle
solely {adv} (exclusively)	 :: bare
solid {adj} (extremely filling)	 :: solid
solid {adj} (in the solid state)	 :: fast
solid {adj} (lacking errors or inconsistencies)	 :: solid
solid {adj} (lacking holes or hollows)	 :: solid, massiv, kompakt
solid {adj} (large, massive)	 :: solid, kraftig
solid {adj} (strong, unyielding (as of foundations etc))	 :: solid, kraftig
solitaire {n} (patience) SEE: patience	 ::
solitaire {n} (person who lives alone) SEE: solitary	 ::
solitary {adj} (lonely) SEE: lonely	 ::
solitude {n} (state of being alone)	 :: ensomhet {c}
Solomon {prop} (king of Israel)	 :: Salomo
Solomon Islander {n} (Somebody from The Solomon Islands)	 :: [Bokmål] salomoner {m}; [Nynorsk] salomonar {m}
Solomon Islands {prop} (A country in Melanesia)	 :: Salomonøyene
so long as {phrase} (as long as) SEE: as long as	 ::
solstice {n} (point where the earth stands at the extreme of its ellipsis around the sun)	 :: [Bokmål] solverv {n}; [Nynorsk] solkverv {m}
solve {v} (to find an answer or solution)	 :: [Bokmål] løse
Somali {adj} (pertaining to Somalia)	 :: [Bokmål] somalisk; [Nynorsk] somalisk
Somali {n} (a person)	 :: [Bokmål] somalier {m}; [Nynorsk] somaliar {m}
Somali {prop} (a language)	 :: [Bokmål] somali {m}, somalisk {m}; [Nynorsk] somali {m}, somalisk {m}
Somalia {prop} (country in the Horn of Africa)	 :: Somalia
some {determiner} (certain proportion of)	 :: noen
some {determiner}	 :: noe (uncountable), noen (countable)
some {determiner} (unspecified quantity or number of)	 :: noen
some {pron} (certain number)	 :: enkelte {p}, visse {p}; [Bokmål] noen; [Nynorsk] somme {p}
someone {pron} (some person)	 :: noen
something {pron} (talent that is hard to pin down)	 :: noenting
something {pron} (unspecified object)	 :: noe
something is rotten in the state of Denmark {phrase} (Hamlet quotation, used in other contexts to mean "something is not right.")	 :: det er noe råttent i kongeriket Danmark
sometime {adv} (obsolete: sometimes) SEE: sometimes	 ::
sometimes {adv} (on certain occasions, but not always)	 :: av og til, tidvis; [Bokmål] noen ganger
somewhat {adv} (limited extent)	 :: noen lunde
somewhat {pron} (something) SEE: something	 ::
somewhere else {adv} (in some other place)	 :: [Bokmål] annensteds, annetsteds; [Nynorsk] annenstad, annensted
somnambulation {n} (sleepwalking) SEE: sleepwalking	 ::
somnambulist {n} (a sleepwalker)	 :: [Bokmål] søvngjenger {m}
son {n} (a male person in relation to his parents)	 :: sønn {m}; [Nynorsk] son {m}
son {n}	 :: sønn {m}
song {n} (music with words)	 :: [Bokmål] sang {m}; [Nynorsk] song {m}
song {n} (sound of a bird) SEE: birdsong	 ::
songbird {n} (bird)	 :: [Bokmål] sangfugl {m}, sanger {m}; [Nynorsk] songfugl {m}
Song of Solomon {prop} (book of the Bible)	 :: Høgsongen {m}
songstress {n} (a female singer)	 :: [Bokmål] sangerinne {m} {f}
son-in-law {n} (son-in-law)	 :: svigersønn, måg
sonnet {n} (sonnet, a type of poem)	 :: sonett; [Nynorsk] sonett
sonogram {n} (spectrogram) SEE: spectrogram	 ::
sonometer {n} (audiometer) SEE: audiometer	 ::
sonorous {adj} (capable of giving out a deep resonant sound)	 :: sonor
sonorous {adj} (full of sound and rich, as in language or verse)	 :: sonor
Sonya {prop} (female given name)	 :: Sonja
soon {adv} (within a short time)	 :: snart
sooner or later {adv} (set phrase; eventually)	 :: før eller senere, før eller seinere, før eller siden
soot {n} (Fine black or dull brown particles)	 :: sot {c}/{n}
soothe {v} (To calm or placate someone or some situation)	 :: berolige
sop {n} (easily frightened person) SEE: milksop	 ::
sop {n} (gravy) SEE: gravy	 ::
Sophia {prop} (female given name)	 :: Sofia {f}, Sofie {f}
sophisticated {adj} (appealing to the tastes of an intellectual; cerebral)	 :: [Bokmål] sofistikert; [Nynorsk] sofistikert
sophisticated {adj} (complicated, especially of complex technology)	 :: [Bokmål] sofistikert; [Nynorsk] sofistikert
sophisticated {adj} (having obtained worldly experience, and lacking naiveté; cosmopolitan)	 :: [Bokmål] sofistikert; [Nynorsk] sofistikert
Sophocles {prop} (Greek dramatic poet)	 :: Sofokles {m}
Sorbian {prop} (language)	 :: sorbisk
sore {adj} (annoyed) SEE: annoyed	 ::
sorghum {n} (cereal)	 :: durra
sorrel {n} (plant)	 :: engsyre
sorrow {n} (unhappiness)	 :: [Bokmål] sorg {m} {f}; [Nynorsk] sorg {f}
sorry {adj} (poor, regrettable)	 :: sørgelig
sorry {adj} (regretful for an action or grieved)	 :: lei
sorry {interj} (expression of regret or sorrow)	 :: unnskyld, beklager
sorry {interj} (request to repeat)	 :: unnskyld
sort {n} (type)	 :: [Bokmål] slags, sort {m}; [Nynorsk] slags {m} {f} {n}, sort {m}
sort {v} (arrange in order)	 :: sortere
sorta {adv} ((colloquially) sort of; quite)	 :: på en måte, liksom
so-so {adj} (neither good nor bad)	 :: passe
São Toméan {adj} (Of, or pertaining to, São Tomé and Principe or its peoples)	 :: [Bokmål] saotomesisk; [Nynorsk] saotomesisk
São Toméan {n} (citizen of São Tomé and Principe or of São Toméan descent)	 :: [Bokmål] saotomeser {m}; [Nynorsk] saotomesar {m}
São Tomé and Príncipe {prop} (Democratic Republic of São Tomé and Príncipe)	 :: São Tomé og Príncipe
Sãotomense {prop} (Forro) SEE: Forro	 ::
sotto {adj} (music, informal: sotto voce (adjective)) SEE: sotto voce	 ::
sotto {adv} (music, informal: sotto voce (adverb)) SEE: sotto voce	 ::
soufflé {n} (baked dish)	 :: [Bokmål] sufflé {m}; [Nynorsk] sufflé {m}
sought-after {adj} (in demand) SEE: in demand	 ::
soul {n} (soul music)	 :: [Bokmål] soul {m}
soul {n} (the spirit or essence of a person that is believed to live on after the person’s death)	 :: sjel {m} {f}
sound {adj} (complete, solid, or secure)	 :: stødig
sound {adj} (healthy)	 :: sunn, frisk
sound {adj} (sound asleep) SEE: sound asleep	 ::
sound {adj} (UK, slang: good or a good thing)	 :: grei
sound {n} (air bladder) SEE: swim bladder	 ::
sound {n} (cuttlefish) SEE: cuttlefish	 ::
sound {n} (long narrow inlet)	 :: sund {n}
sound {n} (sensation perceived by the ear)	 :: lyd {m}; [Nynorsk] lyd {m}, ljod {m} {n}
sound {n} (vibration capable of causing this)	 :: lyd {m}; [Nynorsk] lyd {m}, ljod {m} {n}
Sound {prop} (strait that separates Zealand from Scania)	 :: Øresund {n}
sound card {n} (a computer hardware device used for generating and capturing sounds)	 :: lydkort
soundly {adv} (in a thorough manner)	 :: [Bokmål] grundig; [Nynorsk] grundig
soundness {n} (the result or product of being sound)	 :: [Nynorsk] heilskap {m}, traustleik {m}, rettkomenskap {m}, rettvise {f}
soundness {n} (the state or quality of being sound)	 :: [Nynorsk] heilskap {m}, traustleik {m}, rettkomenskap {m}, rettvise {f}
sound wave {n} (longitudinal wave of pressure transmitted through any plastic material)	 :: [Bokmål] lydbølge {m} {f}; [Nynorsk] lydbølgje {f}
soupçon {n} (suspicion, suggestion) SEE: suspicion	 ::
soupçon {n} (very small amount) SEE: modicum	 ::
soupspoon {n} (soupspoonful) SEE: soupspoonful	 ::
sour {adj} (having an acidic, sharp or tangy taste)	 :: sur
source {n} ((computing) source code)	 :: kildekode {m}
source code {n} (human-readable instructions in a programming language)	 :: [Bokmål] kildekode; [Nynorsk] kjeldekode
sour cream {n} (cream which has been treated with a benign bacterium)	 :: rømme {m}
sourdough {n} (dough)	 :: surdeig {m}
south {n} (compass point)	 :: [Bokmål] sør, syd; [Nynorsk] sør
South Africa {prop} (country)	 :: Sør-Afrika, Republikken Sør-Afrika; [Nynorsk] Sør-Afrika
South African {adj} (of, from, or pertaining to South Africa)	 :: [Bokmål] sørafrikansk; [Nynorsk] sørafrikansk
South African {n} (person)	 :: [Bokmål] sørafrikaner {m}; [Nynorsk] sørafrikan {m}, sørafrikanar {m}
South African English {prop} (English dialect of South Africa)	 :: [Bokmål] sørafrikansk engelsk
South Asia {prop} (South Asia)	 :: Sør-Asia
southeast {n} (compass point)	 :: [Bokmål] sørøst; [Nynorsk] søraust
Southeast Asia {prop} (a subregion of Asia)	 :: Sørøst-Asia
Southerner {n} (someone from the south of a region) SEE: southerner	 ::
Southern Europe {prop} (Southern Europe)	 :: Syd-Europa
southern lights {n} (the aurora of the southern hemisphere)	 :: sørlys {n}
southernmost {adj} (farthest south)	 :: sørligste
Southern Sami {prop} (language)	 :: sørsamisk {c}
Southern Sesotho {prop} (Sotho) SEE: Sotho	 ::
South Korea {prop} (country in East Asia)	 :: Sør-Korea, Republikken Korea
South Korean {adj} (of South Korea)	 :: [Bokmål] sørkoreansk; [Nynorsk] sørkoreansk
South Korean {n} (person from or descended from South Korea)	 :: [Bokmål] sørkoreaner {m}; [Nynorsk] sørkorean {m}, sørkoreanar {m}
South Ossetia {prop} (South Ossetia)	 :: Sør-Ossetia
south-southeast {n} (compass point)	 :: [Bokmål] sør-sørøst; [Nynorsk] sør-søraust
south-southwest {n} (compass point)	 :: [Bokmål] sør-sørvest; [Nynorsk] sør-sørvest
South Sudan {prop} (country in Africa)	 :: Sør-Sudan
South Sudanese {adj} (Of, from, or pertaining to the country of South Sudan or the South Sudanese people)	 :: [Bokmål] sørsudansk; [Nynorsk] sørsudansk
South Sudanese {n} (A person from South Sudan or of South Sudanese descent)	 :: [Bokmål] sørsudaner {m}; [Nynorsk] sørsudanar {m}
southwest {n} (compass point)	 :: [Bokmål] sørvest; [Nynorsk] sørvest
South Yemen {prop} (country)	 :: Sør-Jemen
souvenir {n} (item of sentimental value to remember an event or location)	 :: [Bokmål] suvenir {m}; [Nynorsk] suvenir {m}
Soviet {prop} (soviet) SEE: soviet	 ::
Soviet Union {prop} (USSR)	 :: Sovjetunionen
sow {n} (female pig)	 :: [Bokmål] purke {f} {m}, sugge {f} {m}, hunngris {m}, hunnsvin {n}; [Nynorsk] purke {f}, purka {f} [by-form], sugge {f}, hogris {m}, hosvin {n}
sow {v} (disperse seeds)	 :: så
soy {n} (soy sauce) SEE: soy sauce	 ::
soy milk {n} (a beverage made from soy beans)	 :: soyamelk {m} {f}
space {n} (area beyond atmosphere of planets)	 :: [Bokmål] verdensrom {n}; [Nynorsk] verdsrom {n}
space {n} (while) SEE: while	 ::
space bar {n} (key)	 :: [Bokmål] mellomromstast {m}; [Nynorsk] mellomromstast {m}
spacecraft {n} (vehicle that travels through space)	 :: romskip
space probe {n} (unmanned space vehicle designed to voyage beyond Earth orbit)	 :: romsonde {m}
spaceship {n} (vehicle that flies through space)	 :: romskip {n}
space shuttle {n} (vehicle capable of travelling repeatedly btw Earth and outer space)	 :: romferge; [Nynorsk] romferje
space station {n} (manned artificial satellite)	 :: [Bokmål] romstasjon {m}; [Nynorsk] romstasjon {m}
spacetime {n} (four dimensional continuum)	 :: romtid
space-time {n} (spacetime) SEE: spacetime	 ::
spacious {adj} (having much space; roomy)	 :: rommelig, romslig
spackle {n} (plastic paste for filling cracks and holes)	 :: sparkel {m}, sparkelmasse {m}
spackle {v} (fill cracks or holes with a spackle)	 :: sparkle
spade {n} (a black person)	 :: [Bokmål] svarting {m}
spade {n} (a garden tool with a handle and a flat blade for digging)	 :: spade {m}
spade {n} (one of the black suits in a deck of cards)	 :: spar {m}
spades {n} (spade) SEE: spade	 ::
spaghetti {n} (informally: any type of pasta) SEE: pasta	 ::
spaghetti {n} (spaghetti code) SEE: spaghetti code	 ::
Spain {prop} (country in Europe)	 :: Spania
spallation {n} (physics: nuclear reaction in which a nucleus fragments into many nucleons)	 :: spallasjon {m}
spam {n} (tinned meat product) SEE: SPAM	 ::
spam {n} (unsolicited bulk electronic messages)	 :: søppelpost {m}
spam {n} (unsolicited electronic message sent in bulk)	 :: søppelpost {m}
spam {v} (intransitive)	 :: sende søppelpost
spam {v} (transitive)	 :: sende søppelpost
Spaniard {n} (somebody from Spain)	 :: [Bokmål] spanjol {m}, spanier {m}; [Nynorsk] spanjol {m}, spaniar {m}
Spanish {adj} (of or pertaining to Spain)	 :: [Bokmål] spansk; [Nynorsk] spansk
